Address	Length	Type	String
.rdata:0000000142DA5E90	00000013	C	TFTP: No such user
.rdata:0000000142DA5EA8	00000016	C	Remote file not found
.rdata:0000000142DA5EC0	00000017	C	Error in the SSH layer
.rdata:0000000142DA5ED8	0000001F	C	Socket not ready for send/recv
.rdata:0000000142DA5EF8	00000023	C	RTSP CSeq mismatch or invalid CSeq
.rdata:0000000142DA5F20	00000013	C	RTSP session error
.rdata:0000000142DA5F38	0000001E	C	Unable to parse FTP file list
.rdata:0000000142DA5F58	00000016	C	Chunk callback failed
.rdata:0000000142DA5F70	00000024	C	The max connection limit is reached
.rdata:0000000142DA5F98	00000030	C	SSL public key does not match pinned public key
.rdata:0000000142DA5FC8	00000032	C	SSL server certificate status verification FAILED
.rdata:0000000142DA6000	00000029	C	Stream error in the HTTP/2 framing layer
.rdata:0000000142DA6030	00000029	C	API function called from within callback
.rdata:0000000142DA6060	0000002D	C	An authentication function returned an error
.rdata:0000000142DA6090	0000000D	C	HTTP/3 error
.rdata:0000000142DA60A0	00000016	C	QUIC connection error
.rdata:0000000142DA60B8	00000016	C	proxy handshake error
.rdata:0000000142DA60D0	00000020	C	SSL Client Certificate required
.rdata:0000000142DA60F0	00000023	C	Unrecoverable error in select/poll
.rdata:0000000142DA6118	00000026	C	Please call curl_multi_perform() soon
.rdata:0000000142DA6140	00000015	C	Invalid multi handle
.rdata:0000000142DA6158	00000014	C	Invalid easy handle
.rdata:0000000142DA6170	0000000F	C	Internal error
.rdata:0000000142DA6180	00000018	C	Invalid socket argument
.rdata:0000000142DA6198	0000000F	C	Unknown option
.rdata:0000000142DA61A8	00000033	C	The easy handle is already added to a multi handle
.rdata:0000000142DA61E0	00000020	C	Wakeup is unavailable or failed
.rdata:0000000142DA6200	00000030	C	An invalid CURLU pointer was passed as argument
.rdata:0000000142DA6230	00000032	C	An invalid 'part' argument was passed as argument
.rdata:0000000142DA6268	00000022	C	Malformed input to a URL function
.rdata:0000000142DA6290	00000039	C	Port number was not a decimal number between 0 and 65535
.rdata:0000000142DA62D0	00000017	C	Unsupported URL scheme
.rdata:0000000142DA62E8	0000003E	C	URL decode error, most likely because of rubbish in the input
.rdata:0000000142DA6328	00000019	C	A memory function failed
.rdata:0000000142DA6348	00000032	C	Credentials was passed in the URL when prohibited
.rdata:0000000142DA6380	00000034	C	An unknown part ID was passed to a URL API function
.rdata:0000000142DA63B8	0000001A	C	No scheme part in the URL
.rdata:0000000142DA63D8	00000018	C	No user part in the URL
.rdata:0000000142DA63F0	0000001C	C	No password part in the URL
.rdata:0000000142DA6410	0000001B	C	No options part in the URL
.rdata:0000000142DA6430	00000018	C	No host part in the URL
.rdata:0000000142DA6448	00000018	C	No port part in the URL
.rdata:0000000142DA6460	00000019	C	No query part in the URL
.rdata:0000000142DA6480	0000001C	C	No fragment part in the URL
.rdata:0000000142DA64A0	0000001A	C	No zoneid part in the URL
.rdata:0000000142DA64C0	0000000F	C	Bad login part
.rdata:0000000142DA64D0	00000011	C	Bad IPv6 address
.rdata:0000000142DA64E8	0000000D	C	Bad hostname
.rdata:0000000142DA64F8	00000010	C	Bad file:// URL
.rdata:0000000142DA6508	0000002F	C	Unsupported number of slashes following scheme
.rdata:0000000142DA6538	0000000B	C	Bad scheme
.rdata:0000000142DA6548	00000009	C	Bad path
.rdata:0000000142DA6558	0000000D	C	Bad fragment
.rdata:0000000142DA6568	0000000A	C	Bad query
.rdata:0000000142DA6578	0000000D	C	Bad password
.rdata:0000000142DA6588	00000009	C	Bad user
.rdata:0000000142DA6598	0000001A	C	libcurl lacks IDN support
.rdata:0000000142DA65B8	00000012	C	CURLUcode unknown
.rdata:0000000142DA65D0	00000011	C	Call interrupted
.rdata:0000000142DA65E8	00000009	C	Bad file
.rdata:0000000142DA65F8	0000000B	C	Bad access
.rdata:0000000142DA6608	0000000D	C	Bad argument
.rdata:0000000142DA6618	00000012	C	Invalid arguments
.rdata:0000000142DA6630	00000018	C	Out of file descriptors
.rdata:0000000142DA6648	00000011	C	Call would block
.rdata:0000000142DA6660	0000001A	C	Blocking call in progress
.rdata:0000000142DA6680	0000001B	C	Descriptor is not a socket
.rdata:0000000142DA66A0	00000019	C	Need destination address
.rdata:0000000142DA66C0	00000011	C	Bad message size
.rdata:0000000142DA66D8	0000000D	C	Bad protocol
.rdata:0000000142DA66E8	0000001F	C	Protocol option is unsupported
.rdata:0000000142DA6708	00000018	C	Protocol is unsupported
.rdata:0000000142DA6720	00000016	C	Socket is unsupported
.rdata:0000000142DA6738	00000018	C	Operation not supported
.rdata:0000000142DA6750	0000001D	C	Address family not supported
.rdata:0000000142DA6770	0000001E	C	Protocol family not supported
.rdata:0000000142DA6790	00000017	C	Address already in use
.rdata:0000000142DA67A8	00000016	C	Address not available
.rdata:0000000142DA67C0	0000000D	C	Network down
.rdata:0000000142DA67D0	00000014	C	Network unreachable
.rdata:0000000142DA67E8	00000017	C	Network has been reset
.rdata:0000000142DA6800	00000017	C	Connection was aborted
.rdata:0000000142DA6818	00000015	C	Connection was reset
.rdata:0000000142DA6830	00000010	C	No buffer space
.rdata:0000000142DA6840	0000001C	C	Socket is already connected
.rdata:0000000142DA6860	00000018	C	Socket is not connected
.rdata:0000000142DA6878	0000001A	C	Socket has been shut down
.rdata:0000000142DA6898	00000014	C	Too many references
.rdata:0000000142DA68B0	0000000A	C	Timed out
.rdata:0000000142DA68C0	00000013	C	Connection refused
.rdata:0000000142DA68D4	00000007	C	Loop??
.rdata:0000000142DA68E0	0000000E	C	Name too long
.rdata:0000000142DA68F0	0000000A	C	Host down
.rdata:0000000142DA6900	00000011	C	Host unreachable
.rdata:0000000142DA6918	0000000A	C	Not empty
.rdata:0000000142DA6928	00000016	C	Process limit reached
.rdata:0000000142DA6940	0000000F	C	Too many users
.rdata:0000000142DA6950	0000000A	C	Bad quota
.rdata:0000000142DA6960	00000013	C	Something is stale
.rdata:0000000142DA6978	0000000D	C	Remote error
.rdata:0000000142DA6988	0000000D	C	Disconnected
.rdata:0000000142DA6998	0000001D	C	Winsock library is not ready
.rdata:0000000142DA69B8	00000020	C	Winsock library not initialised
.rdata:0000000142DA69D8	0000001E	C	Winsock version not supported
.rdata:0000000142DA69F8	0000000F	C	Host not found
.rdata:0000000142DA6A08	0000001A	C	Host not found, try again
.rdata:0000000142DA6A28	0000002A	C	Unrecoverable error in call to nameserver
.rdata:0000000142DA6A58	00000021	C	No data record of requested type
.rdata:0000000142DA6A80	00000017	C	Unknown error %d (%#x)
.rdata:0000000142DA6A98	0000001C	C	Unknown error %lu (0x%08lX)
.rdata:0000000142DA6AB8	00000010	C	CRYPT_E_REVOKED
.rdata:0000000142DA6AC8	0000001A	C	CRYPT_E_NO_REVOCATION_DLL
.rdata:0000000142DA6AE8	0000001C	C	CRYPT_E_NO_REVOCATION_CHECK
.rdata:0000000142DA6B08	0000001B	C	CRYPT_E_REVOCATION_OFFLINE
